% Title: Dictionary database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION dictionary original 
@ATTRIBUTE word String 
@ATTRIBUTE usefulVotesPercent {A,B,C,D,E}
@ATTRIBUTE usefulnessPercent {A,B,C,D,E}

@DATA 
sopping,A,A
brace,A,A
bases,A,B
intimate,C,B
disposal,C,B
brand,C,B
based,C,B
hooker,A,B
hooked,B,B
orchestra,C,A
brake,B,A
bright,D,B
aviation,B,D
chamber,D,B
somehow,C,B
package,C,A
pointed,C,B
mormon,D,E
night,C,B
monstrous,C,B
learned,D,B
atlantic,A,C
transport,D,A
artery,A,A
despise,A,C
despite,C,B
foursquare,B,A
acrylics,B,D
schmancy,D,B
lunchdinner,C,A
chemical,C,A
dinning,C,B
nifty,C,A
staple,B,B
handsome,C,A
nypd,B,D
delay,C,B
casablanca,A,C
alexis,C,B
eclectic,C,C
nausea,D,B
softserve,C,E
brought,C,B
delhi,D,E
provides,C,B
provider,B,A
skillets,C,E
minutesthe,D,C
delis,C,C
provided,C,B
sarcastic,C,A
delta,D,C
wasthe,C,A
brasserie,A,C
stoned,A,B
southern,C,B
wasted,D,B
delux,B,C
stones,C,B
stoner,C,D
fishes,B,C
attraction,C,C
attracting,C,A
pastabar,E,C
witch,C,A
chives,D,A
gobbled,C,C
swizzle,D,C
cheesethe,B,C
hassles,B,D
framboise,D,B
penne,B,A
mutton,A,B
penny,C,A
embarrassing,D,B
compressor,C,D
tennessee,B,B
nines,D,C
orange,C,B
sopapilla,D,A
pilgrim,C,C
multiple,C,A
ninja,B,D
historical,D,A
celebrities,A,E
deplorable,D,C
observation,D,C
stoked,D,B
benefit,C,B
protein,C,A
allegiant,B,D
stairs,D,C
nonstop,C,B
banks,C,A
breed,D,A
overcharge,C,A
bracelet,C,A
fraction,B,A
accessories,C,B
bangs,C,C
bands,C,C
break,C,B
bread,C,B
flexible,B,B
protect,D,B
projection,B,B
hover,C,A
available,C,B
graveyard,D,B
religiously,D,C
ecofriendly,A,B
brews,B,B
morsel,D,A
reheated,C,B
photographs,D,C
photography,C,C
artichokes,D,C
clocks,C,B
wired,B,A
stolen,B,A
zombies,D,C
afternoons,C,C
diarrhea,D,A
wires,D,A
wishing,D,B
stains,C,A
guadalajara,A,E
loading,B,B
wives,D,A
lizard,B,A
foodwise,B,A
coowner,A,C
lights,C,B
portions,B,A
intimacy,D,C
minnie,E,B
envision,A,D
intense,D,C
resolution,B,A
minestrone,C,D
silvers,B,C
maduros,B,A
yummiest,B,C
nevertheless,C,B
spaghetti,C,A
retaining,C,B
hound,D,C
house,C,B
waitand,C,D
hours,C,B
houri,C,D
surroundings,C,C
resorts,C,C
beignets,D,C
protest,A,C
hoopla,C,C
nuff,C,A
oblivious,C,B
nude,E,C
spicier,B,A
waaaay,B,C
alcoholic,C,A
island,C,A
xrays,B,A
nuoc,A,D
barrier,B,B
thoughts,D,B
numb,D,A
thoughwe,B,C
ration,D,D
positively,C,B
velveeta,C,A
commonly,D,B
scalloped,C,A
volunteer,D,B
hooray,C,C
hotel,B,A
rating,B,B
witty,D,A
nuts,D,B
stirred,D,B
pheonix,B,A
frankly,D,B
chillies,B,B
mutual,A,B
buttery,D,B
butters,B,A
dinners,B,B
perhaps,D,B
nikki,D,C
withi,C,D
dinneri,D,C
religion,D,A
nofrills,C,C
spicing,C,A
barber,B,D
duper,C,B
odor,D,B
rumors,C,B
pesky,C,D
stacys,C,B
alcoholics,D,D
decaf,D,C
stirfry,C,B
fulltime,B,D
ribbons,C,A
odds,D,C
perry,D,B
havarti,C,A
province,D,A
eclair,D,C
upgrade,B,B
debit,D,B
instructed,B,B
guards,D,A
morgan,B,B
closure,B,A
signage,D,C
voiced,D,B
omlettes,B,C
swollen,B,D
voices,D,B
chilling,D,C
monitoring,B,D
patterns,D,A
death,D,B
striking,A,B
brisk,A,C
nutcracker,D,B
department,C,A
winco,B,C
windy,C,A
winds,C,D
perky,A,D
perks,C,B
highland,D,A
whiskeys,D,C
wings,B,A
centurion,A,C
someone,C,B
premise,C,D
mattress,C,A
wines,C,B
premium,C,B
eating,C,B
inspiration,A,A
scheme,D,B
dunno,C,B
poured,D,B
brian,D,B
brick,C,B
rebuild,B,B
bride,B,D
soupsalad,B,A
themand,D,C
moreso,C,E
brief,D,B
bring,C,B
deali,D,B
foodgasm,A,B
barbie,A,A
supermarkets,C,A
dealt,B,A
deals,B,A
premier,D,E
staffs,B,B
staffi,B,B
barrels,C,A
sicily,C,D
escaping,C,B
strangers,D,C
highlight,C,B
stouts,C,B
strangest,D,A
brainer,C,A
efficiently,B,A
sooooooo,B,C
strangely,C,A
pepsi,C,A
tossing,C,C
rositas,B,A
preserved,D,B
belief,D,E
preserves,C,A
thembut,A,D
coverage,C,B
distances,C,A
dumpy,D,B
presidents,D,B
belated,D,B
wiped,C,B
barely,C,B
shrug,B,A
rangoon,C,A
tragedy,C,E
attractive,C,B
stages,D,B
pepes,D,C
sucked,D,B
wipes,C,D
sucker,C,B
artois,C,C
decks,D,A
haters,D,B
ownership,B,A
transferred,B,B
toaster,C,C
roomie,A,A
goodservice,B,D
toasted,C,B
gamble,B,A
gambas,A,C
decor,C,B
uninspiring,C,B
calvin,A,B
broke,C,A
noticeably,C,A
calves,D,D
noticeable,C,C
easygoing,B,B
broad,D,B
vancouver,B,C
sickly,B,A
intimidating,C,C
reflects,B,D
lowfat,B,B
bangkok,B,A
dutch,C,D
illinois,C,C
endorsement,D,C
dusty,C,B
dugout,C,D
concur,C,C
lowest,C,B
shred,D,B
belong,D,A
increased,C,A
laziness,A,B
increases,B,B
mountain,D,B
apart,C,B
carolinas,B,A
againthis,B,B
tentative,D,D
binkleys,A,C
newborn,B,C
anyways,B,B
defunct,A,B
anywayi,A,B
recline,C,B
greenery,C,A
grossed,D,A
punching,C,B
niece,C,A
copied,C,A
copies,C,A
ichiban,C,D
redneck,C,A
oats,C,C
prompting,C,B
paints,C,A
pounds,C,C
grossly,C,B
eatery,C,B
eaters,B,C
preference,B,A
rotates,B,B
fondly,A,E
foreign,D,B
cardamom,B,C
rotated,B,B
condos,D,B
dislikes,D,A
disliked,C,A
tension,D,A
rooste,A,E
hundred,C,B
tailgating,B,B
crystal,D,C
terrific,B,A
fondue,C,B
hamachi,C,C
minute,C,B
redness,C,B
shown,C,C
shows,C,B
shoyu,B,D
buttons,B,A
software,D,A
hating,D,B
sacramento,B,D
improves,D,C
improved,C,A
shops,C,B
shopi,D,B
shoot,C,B
shook,A,B
shore,B,B
short,C,B
rotisserie,C,C
dragon,C,C
shots,C,B
shove,D,B
annoyingly,C,B
shout,D,B
nicei,C,B
comforting,D,B
nicer,B,B
original,C,B
talkative,B,A
conclude,A,C
wimpy,A,C
numbered,D,A
banging,C,B
iphone,C,A
indulging,C,C
downright,C,B
cultured,D,A
rangoons,B,A
cultural,D,C
storei,D,A
stored,B,B
stores,C,A
priced,B,A
niche,D,B
stable,C,D
entrees,C,B
cultures,C,C
pricey,B,A
nicks,B,A
enjoyment,C,C
pricei,B,B
prices,B,A
stormy,B,C
storms,C,E
frantic,C,C
petty,D,B
muddled,A,C
heartier,D,E
pedicure,B,A
chymist,D,C
prosciutto,D,C
parallel,C,B
hygienist,B,A
instructor,C,C
intriguing,D,A
digress,A,C
unsuccessful,D,C
petit,A,B
lebanese,D,C
heartily,A,C
drafts,C,A
blender,C,A
blended,C,B
talents,D,C
peter,C,B
petes,C,B
grimaldis,B,A
appetite,C,B
disappeared,C,A
stacks,C,A
petco,B,A
discovered,C,B
swallowed,A,E
stacey,B,B
willo,D,A
willy,A,A
tendency,C,C
downtown,C,B
pesto,C,A
shoes,D,B
shock,C,B
prides,D,A
clutter,D,C
vegans,C,B
barked,D,C
peruse,D,B
lowered,B,A
sandwiched,C,A
thankfully,D,A
shrimps,B,A
wifey,B,C
sandwiches,B,B
wifes,B,A
spareribs,C,D
handlebar,A,A
authentic,B,A
thickly,D,C
originals,C,C
thicker,B,A
envisioned,D,C
quirky,C,B
quirks,B,C
recycled,D,B
insisted,D,B
assembly,C,B
premade,C,A
assemble,B,D
bangers,B,A
explanations,D,C
finishing,C,C
babes,C,A
wierd,B,A
babbo,B,D
average,B,A
expresso,B,C
clowns,D,B
fleet,C,C
saddle,C,B
better,B,A
nite,B,B
flying,C,B
nine,C,A
hamburgers,B,A
nina,C,A
makings,D,E
passionfruit,A,A
mcdowell,D,A
nile,B,A
nike,C,A
downtoearth,D,B
styling,C,A
babys,C,B
bookstores,B,B
blandest,C,B
stylist,B,A
stylish,D,B
fleur,A,D
hokey,B,A
flesh,A,A
comedy,D,B
stretchy,C,A
integrated,B,A
requests,C,B
tomatos,C,C
naturally,D,B
tomatoe,B,C
thoughthe,B,B
eatthe,B,C
bacon,C,B
backi,C,A
backs,C,A
seriousness,C,A
seventh,C,B
tempura,B,B
ifwhen,B,D
flats,B,C
flaws,D,A
sings,D,C
since,C,B
cooled,D,A
cooler,C,B
hogan,E,A
ideally,D,D
readymade,D,E
nice,B,A
exits,C,D
nick,C,D
fashionable,C,B
simon,D,C
reheat,B,A
diesel,D,C
wowza,C,E
seasonally,D,C
inspect,B,A
nodded,A,B
lowkey,D,A
zombie,D,C
persuasion,C,D
badge,A,D
enterprise,B,D
exist,D,B
bruscetta,B,A
foodwe,C,C
voyage,C,C
barley,C,A
versus,B,A
foodso,D,A
chicks,D,A
disapointed,B,D
frequenting,B,B
badly,C,A
foodmy,C,A
geared,B,A
sauerkraut,D,C
foodit,B,A
cooked,C,B
cooker,A,A
challenges,B,B
challenged,C,B
combos,B,A
appropriately,C,B
cookie,C,A
indulgent,D,C
cookin,D,B
foodif,B,D
foodie,D,B
sinks,D,B
suggests,C,B
versed,B,D
school,C,B
hohum,C,B
chicos,B,D
eatdrink,B,B
sinus,C,C
aggressively,D,A
competitors,C,A
overloaded,B,C
foundation,D,C
areathe,B,A
meandered,C,C
shuffleboard,C,B
reported,C,A
sportsmans,B,E
rookie,C,B
corporate,C,B
quinta,B,D
camper,C,B
cloths,D,B
sitter,B,A
quinoa,C,A
admitting,D,C
lamars,B,B
grateful,D,B
hectic,B,A
flyers,C,E
italian,C,A
magazine,C,C
need,C,B
attract,C,B
blocking,C,B
barnes,C,A
near,C,B
neat,B,B
neck,D,A
different,C,B
closet,D,B
closes,C,B
closer,B,A
comida,A,A
neon,D,B
closed,B,A
spiciness,B,B
samburger,B,D
comics,D,B
accomplish,D,B
spacious,C,B
understaffed,B,A
mismatched,D,C
lifter,B,B
flake,A,A
lifted,D,B
flair,C,B
coming,B,B
stayed,B,A
next,C,B
flags,C,A
news,D,C
nerd,D,B
nest,A,C
flash,A,B
tiramasu,D,C
travelling,C,C
toddlers,B,D
container,C,A
flare,C,A
judge,D,B
inandout,A,D
silly,D,B
wowed,C,A
flank,C,C
landmark,D,A
silky,D,B
campus,C,B
lambic,C,B
contained,D,C
flame,D,C
flaky,D,B
confuse,D,C
scrumptious,C,B
clover,A,A
cloves,C,B
appointed,B,A
wider,B,D
hatred,A,C
playoffs,B,D
cooper,B,A
explore,D,B
hallelujah,D,B
homegrown,D,A
schlep,D,A
elements,C,C
individually,C,B
challah,C,B
inspire,D,A
changing,B,A
tapino,A,E
magically,D,C
brizza,C,D
explode,C,A
barren,D,C
barrel,D,A
douchebags,D,C
choking,D,A
juans,B,C
cloudy,C,B
clouds,A,B
ncaa,B,D
would,C,B
stationed,C,E
smidge,B,A
wound,D,B
fairmont,C,C
suprisingly,B,E
tendons,B,D
laminate,D,A
snotty,C,C
pepperoni,B,A
glitch,C,D
witness,D,B
widow,B,D
respect,C,B
frashers,A,C
width,C,D
chalked,C,A
density,C,B
championship,C,B
meanwhile,D,A
draped,A,C
drapes,C,A
plastic,D,B
mustdo,A,C
horns,C,D
horny,A,D
smiled,D,B
muster,D,B
smiles,C,A
smiley,C,A
praline,D,B
infected,D,B
barthe,C,C
horse,C,C
burgeri,A,B
burgers,B,A
peach,C,A
amusement,A,C
