% Title: Dictionary database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION dictionary2 
@ATTRIBUTE usefulnessPercent NUMERIC

@ATTRIBUTE cluesterClass {A,B,C,D,E}

@DATA 
13.807531,B
24.901186,C
13.296703,B
17.567568,B
14.373843,B
14.293086,B
18.117344,B
15.384615,B
2.4390244,A
5.492424,A
41.509434,E
25.0,C
12.91866,B
28.88889,C
14.576872,B
13.450293,B
3.1746032,A
13.403234,B
18.598429,B
15.84697,B
15.267176,B
0.0,D
13.86604,B
35.897434,C
1.3745705,D
14.285714,B
6.428571,A
16.153847,B
20.0,B
1.2048193,D
3.125,A
28.301888,C
-12.676056,D
3.9215686,A
12.017167,A
7.3170733,A
27.428572,C
17.741936,B
24.358974,C
11.232877,A
28.217821,C
12.903226,B
12.605042,A
12.727273,B
18.75,B
16.666666,B
16.853933,B
2.7777777,A
10.526316,A
10.769231,A
15.805471,B
21.95122,B
33.333332,C
20.0,B
32.16783,C
4.4117646,A
9.836065,A
14.285714,B
17.23615,B
6.25,A
9.090909,A
22.38806,C
28.947369,C
8.0,A
32.743362,C
15.25815,B
2.5,A
11.688312,A
22.222221,C
-10.187668,D
0.0,D
20.0,B
14.722782,B
6.53951,A
20.918367,B
3.4482758,A
9.090909,A
11.826087,A
15.745394,B
22.926828,C
-18.644068,D
14.503817,B
21.311476,B
-1.9607843,D
24.615385,C
0.0,D
38.77551,E
19.71831,B
11.715481,A
16.972477,B
29.752066,C
26.373627,C
21.818182,B
17.647058,B
26.717558,C
15.555555,B
22.972973,C
63.333332,E
12.790698,B
16.549295,B
17.431192,B
14.141414,B
17.880795,B
12.132753,A
5.5555553,A
-5.6603775,D
3.8674033,A
16.0131,B
13.617022,B
13.538462,B
37.2093,E
17.142857,B
7.9522862,A
13.650794,B
16.093489,B
30.0,C
9.815951,A
30.882353,C
9.11271,A
8.74036,A
16.41791,B
14.972677,B
21.89781,B
-0.8,D
25.641026,C
18.70824,B
4.7945204,A
6.060606,A
13.888889,B
4.4117646,A
29.487179,C
-4.1666665,D
4.347826,A
14.035088,B
13.461538,B
-15.0,D
6.4777327,A
26.506023,C
11.16279,A
22.881355,C
15.769082,B
25.0,C
6.060606,A
17.995443,B
14.088923,B
5.263158,A
36.842106,E
22.666666,C
-0.9852217,D
11.990408,A
28.205128,C
20.930233,B
8.064516,A
-2.5641026,D
11.363636,A
19.157087,B
27.472527,C
13.5977335,B
22.222221,C
21.95122,B
-4.7619047,D
14.634147,B
11.570248,A
16.161615,B
10.256411,A
45.16129,E
28.787878,C
14.296549,B
17.495785,B
20.879122,B
6.140351,A
15.321876,B
-13.043478,D
18.299711,B
18.367348,B
47.826088,E
10.01565,A
16.978703,B
7.5268817,A
23.636364,C
13.282306,B
2.5641026,A
20.240963,B
13.103448,B
15.67696,B
11.450381,A
24.390244,C
-12.765958,D
18.367348,B
23.593073,C
1.9607843,A
12.195122,A
6.060606,A
28.125,C
18.404907,B
24.124514,C
21.875,B
25.0,C
13.488372,B
19.417477,B
2.020202,A
10.832383,A
13.192382,B
15.625,B
8.928572,A
6.3157897,A
27.205883,C
11.864407,A
16.772152,B
33.59375,C
22.9572,C
9.090909,A
-9.309309,D
16.773163,B
-2.5,D
-4.3103447,D
16.071428,B
14.285714,B
0.0,D
13.573086,B
32.432434,C
15.753425,B
33.870968,C
15.59829,B
17.5,B
13.333333,B
-14.583333,D
8.974359,A
30.76923,C
16.528925,B
8.974359,A
18.788857,B
13.333333,B
19.35484,B
15.909091,B
16.856491,B
27.692308,C
21.703854,B
11.235955,A
16.363636,B
14.285714,B
21.12676,B
21.568628,B
18.58407,B
22.727272,C
-19.71831,D
14.092664,B
3.3412888,A
6.25,A
20.512821,B
28.387096,C
51.612904,E
19.93464,B
27.222221,C
4.477612,A
11.702127,A
24.550898,C
22.55639,C
17.54386,B
27.272728,C
10.666667,A
13.802817,B
17.508142,B
14.721724,B
31.612904,C
14.112588,B
27.906977,C
29.032259,C
20.38835,B
25.0,C
15.12605,B
35.897434,C
13.829787,B
20.0,B
17.260275,B
80.0,E
13.359599,B
12.880143,B
21.12676,B
40.217392,E
27.57353,C
16.955017,B
45.16129,E
25.641026,C
30.188679,C
9.375,A
5.1282053,A
4.781705,A
24.8,C
19.494585,B
27.638191,C
13.367876,B
18.181818,B
21.02564,B
15.6281185,B
19.387754,B
28.282827,C
19.736841,B
6.779661,A
16.923077,B
15.443177,B
9.090909,A
12.257281,A
10.4992075,A
12.5,A
15.625,B
3.7037036,A
14.132105,B
27.777779,C
10.649483,A
6.25,A
0.0,D
34.88372,C
19.45946,B
8.695652,A
12.121212,A
17.142857,B
12.9838705,B
18.198874,B
6.6666665,A
23.195877,C
7.5409837,A
20.3125,B
34.210526,C
17.525774,B
22.00957,B
10.084034,A
-25.675676,D
17.70883,B
18.75,B
13.712224,B
20.0,B
20.454546,B
7.2340426,A
20.0,B
31.914894,C
15.873015,B
14.52514,B
10.869565,A
12.962963,B
14.925987,B
17.52809,B
35.294117,C
34.615383,C
-5.882353,D
21.487604,B
11.570248,A
21.014492,B
12.846348,B
18.817204,B
25.757576,C
12.121212,A
40.0,E
19.827587,B
20.805368,B
12.387096,A
17.066347,B
16.402786,B
14.307343,B
34.782608,C
29.787233,C
-3.7037036,D
16.154806,B
14.971393,B
13.652045,B
19.047619,B
4.9964314,A
21.621622,B
8.61244,A
22.580645,C
21.014492,B
8.93796,A
11.79941,A
23.275862,C
-3.2258065,D
5.263158,A
17.391304,B
15.154749,B
30.0,C
23.529411,C
20.754717,B
6.878307,A
31.914894,C
22.627737,C
15.384615,B
11.842105,A
21.052631,B
15.233351,B
11.009174,A
15.476191,B
0.0,D
13.930348,B
12.743823,B
19.186047,B
6.818182,A
27.350428,C
52.5,E
20.379147,B
14.393939,B
24.183006,C
7.8125,A
12.62762,A
0.0,D
15.882353,B
18.75,B
11.538462,A
14.583333,B
9.75,A
16.363636,B
23.03523,C
4.6875,A
16.748768,B
13.314037,B
14.3307085,B
12.8404665,B
9.967547,A
15.239281,B
18.60465,B
8.713693,A
26.229507,C
20.0,B
18.75,B
11.688312,A
15.189874,B
19.289341,B
0.0,D
16.483517,B
20.37037,B
20.401339,B
25.0,C
11.650485,A
0.0,D
22.222221,C
13.480055,B
28.571428,C
-4.0540543,D
16.666666,B
21.923077,B
15.352697,B
12.264151,A
19.708029,B
13.333333,B
31.081081,C
25.0,C
16.245136,B
8.291457,A
24.324324,C
12.540193,A
16.09756,B
17.192692,B
18.101933,B
35.555557,C
17.777779,B
24.193548,C
14.22367,B
12.711864,B
17.839262,B
17.152103,B
0.0,D
-13.513514,D
22.222221,C
21.721312,B
19.35484,B
16.98324,B
13.636364,B
10.0771675,A
21.212122,B
37.288136,E
15.865385,B
16.81416,B
14.285714,B
3.7037036,A
13.333333,B
14.0,B
12.149532,A
12.5,A
15.111111,B
9.235294,A
49.577465,E
14.634147,B
32.407406,C
10.2739725,A
16.27907,B
-5.263158,D
6.8965516,A
27.777779,C
10.071942,A
21.052631,B
78.78788,E
24.14966,C
14.942529,B
30.555555,C
38.88889,E
14.418174,B
19.889503,B
30.549898,C
-8.530806,D
4.109589,A
9.523809,A
31.37255,C
11.363636,A
12.962963,B
32.098766,C
17.880795,B
27.777779,C
18.32884,B
12.698413,B
23.076923,C
23.69863,C
2.0833333,A
19.148935,B
11.111111,A
9.67742,A
18.644068,B
18.46986,B
14.705882,B
14.538822,B
14.074074,B
19.148935,B
15.393387,B
2.0408163,A
9.569378,A
21.989824,B
-11.428572,D
15.789474,B
16.22191,B
9.1113615,A
17.772778,B
57.142857,E
14.778028,B
13.461538,B
16.400581,B
31.147541,C
12.037037,A
4.6875,A
28.04878,C
15.094339,B
10.447762,A
-1.4705882,D
19.607843,B
4.0983605,A
12.318841,A
18.669527,B
7.894737,A
14.285714,B
12.244898,A
-0.44052863,D
19.536425,B
30.508474,C
12.820513,B
22.409327,C
12.903226,B
38.636364,E
14.518606,B
49.18033,E
14.648729,B
6.8965516,A
46.575344,E
27.777779,C
27.922077,C
16.106443,B
6.521739,A
35.44304,C
3.4482758,A
28.26087,C
20.0,B
14.142539,B
17.154812,B
24.537607,C
20.103092,B
-8.333333,D
29.032259,C
26.666666,C
6.451613,A
30.0,C
4.0816326,A
11.881188,A
25.925926,C
34.146343,C
24.242424,C
-32.35294,D
17.5,B
7.03125,A
21.052631,B
12.592592,A
22.105263,B
-14.285714,D
21.875,B
24.242424,C
14.015454,B
11.428572,A
33.962265,C
11.609072,A
-6.185567,D
10.791367,A
45.0,E
22.857143,C
27.2,C
15.765766,B
17.017208,B
12.060302,A
-22.580645,D
22.413794,C
21.359222,B
3.7974684,A
9.302325,A
9.876543,A
8.474576,A
4.1666665,A
15.662651,B
32.8125,C
23.630136,C
13.892264,B
14.437481,B
19.387754,B
16.470589,B
20.0,B
9.756098,A
15.52079,B
20.0,B
35.416668,C
21.311476,B
14.345404,B
5.882353,A
18.26923,B
28.571428,C
31.666666,C
25.641026,C
20.0,B
6.557377,A
8.522727,A
25.0,C
27.027027,C
5.4054055,A
1.7857143,A
17.288136,B
5.140187,A
43.137257,E
20.0,B
8.955224,A
7.142857,A
4.477612,A
26.666666,C
18.856806,B
10.067873,A
30.434782,C
15.384615,B
0.0,D
25.944584,C
10.0,A
0.0,D
22.222221,C
9.67742,A
25.925926,C
14.224138,B
10.251631,A
16.129032,B
25.0,C
14.071484,B
0.0,D
15.535596,B
-2.0833333,D
22.356495,C
24.0,C
27.272728,C
23.255814,C
34.88372,C
6.25,A
15.957447,B
22.222221,C
8.196721,A
24.827587,C
9.395973,A
10.069791,A
2.5477707,A
-8.695652,D
21.487604,B
19.033232,B
11.864407,A
28.125,C
-2.9411764,D
14.049587,B
1.9607843,A
21.518988,B
11.428572,A
20.833334,B
22.818792,C
8.058213,A
13.840947,B
11.304348,A
16.598192,B
20.338984,B
2.9411764,A
13.517442,B
15.625,B
21.212122,B
21.647058,B
12.149532,A
17.569193,B
15.947587,B
31.578947,C
-4.1666665,D
32.467533,C
8.928572,A
32.22222,C
8.823529,A
0.25839794,D
20.689655,B
18.857143,B
21.875,B
-6.521739,D
12.931034,B
0.0,D
26.553673,C
14.141414,B
-3.125,D
7.894737,A
23.188406,C
15.789474,B
5.109489,A
11.764706,A
22.580645,C
14.115646,B
17.359413,B
15.625,B
11.111111,A
16.129032,B
6.122449,A
23.918575,C
19.512196,B
28.571428,C
-13.513514,D
17.204302,B
24.468084,C
-8.333333,D
4.9382715,A
19.23077,B
17.28395,B
29.761906,C
20.0,B
12.105263,A
36.0,C
12.230216,A
-8.620689,D
0.0,D
14.09396,B
12.5,A
26.829268,C
6.163604,A
22.38806,C
14.963231,B
-8.510638,D
10.256411,A
19.924458,B
20.240137,B
14.081742,B
12.280702,A
18.181818,B
18.852459,B
18.6217,B
13.043478,B
19.80559,B
20.0,B
-4.0816326,D
9.090909,A
29.032259,C
37.2549,E
15.568862,B
14.5788,B
16.216217,B
15.0,B
8.196721,A
9.333333,A
12.040133,A
6.734914,A
39.772728,E
17.241379,B
14.285714,B
2.857143,A
0.0,D
12.698413,B
23.2,C
17.053364,B
17.5,B
6.122449,A
12.658228,A
5.2287583,A
30.30303,C
8.035714,A
11.04101,A
26.666666,C
9.929078,A
16.831684,B
41.322315,E
9.6,A
-9.090909,D
14.285714,B
11.111111,A
18.348623,B
18.181818,B
14.285714,B
17.142857,B
17.410133,B
2.3809524,A
9.615385,A
37.837837,E
14.415781,B
13.793103,B
31.428572,C
19.078947,B
-6.976744,D
21.178345,B
31.707317,C
10.526316,A
14.772727,B
11.956522,A
19.148935,B
24.107143,C
8.235294,A
0.0,D
19.271814,B
3.508772,A
35.294117,C
14.667757,B
14.893617,B
16.216217,B
7.187894,A
8.823529,A
-14.285714,D
27.810652,C
15.714286,B
22.02381,B
26.086956,C
10.526316,A
22.335026,C
-8.602151,D
18.644068,B
11.111111,A
0.43103448,D
25.531916,C
31.428572,C
17.714285,B
-2.4390244,D
32.65306,C
21.925133,B
17.5,B
10.176991,A
12.0,A
14.285714,B
13.888889,B
21.993769,B
15.131086,B
11.436171,A
15.789474,B
-2.631579,D
29.608938,C
25.0,C
13.851352,B
16.666666,B
17.741936,B
16.923077,B
7.2289157,A
8.379889,A
17.857143,B
11.016949,A
2.7027028,A
8.928572,A
0.0,D
4.5454545,A
23.880596,C
12.903226,B
4.5454545,A
23.287672,C
14.102564,B
17.5,B
22.715405,C
12.35955,A
20.37037,B
40.350876,E
15.0,B
26.923077,C
18.181818,B
13.846154,B
9.803922,A
10.10101,A
7.6923075,A
43.47826,E
13.366337,B
15.151515,B
23.225807,C
7.5526505,A
16.33508,B
25.874126,C
17.11363,B
21.875,B
26.062323,C
16.331362,B
-9.67742,D
11.278195,A
1.754386,A
15.555555,B
-2.7027028,D
24.390244,C
9.437086,A
14.569,B
14.705882,B
16.960352,B
21.666666,B
20.253164,B
13.357946,B
23.61809,C
26.05459,C
20.038168,B
13.888889,B
13.69863,B
19.75684,B
14.529915,B
14.144737,B
12.866604,B
15.998618,B
11.594203,A
26.415094,C
30.76923,C
11.627907,A
13.92405,B
12.051282,A
30.864197,C
14.088398,B
4.6511626,A
6.0,A
24.842768,C
10.606061,A
14.285714,B
12.159062,A
6.6788993,A
13.333333,B
-13.461538,D
15.863874,B
25.663717,C
6.621651,A
4.0,A
22.352942,C
13.333333,B
8.683181,A
28.571428,C
38.88889,E
31.11111,C
14.864865,B
26.732674,C
44.89796,E
5.428571,A
25.0,C
24.335548,C
13.207547,B
10.638298,A
24.404762,C
8.695652,A
25.087109,C
22.5,C
17.894737,B
32.692307,C
23.913044,C
7.522124,A
10.666667,A
17.211329,B
30.30303,C
12.888889,B
14.230769,B
11.961057,A
14.571428,B
3.6082475,A
8.333333,A
11.111111,A
16.401733,B
51.02041,E
18.75,B
9.523809,A
8.823529,A
24.096386,C
20.704292,B
11.849281,A
13.699864,B
20.565552,B
3.7037036,A
26.666666,C
18.686869,B
32.5,C
20.574163,B
6.3492064,A
11.650485,A
12.144703,A
8.955224,A
29.72973,C
13.549161,B
6.8047338,A
0.0,D
9.090909,A
11.680452,A
34.146343,C
33.333332,C
11.931818,A
23.076923,C
13.442623,B
35.08772,C
17.142857,B
17.613636,B
20.20202,B
12.681912,A
-5.1282053,D
4.132231,A
27.659575,C
24.356775,C
12.5,A
4.8192773,A
-6.3492064,D
10.196504,A
22.38806,C
22.0,B
24.528301,C
15.846994,B
10.961562,A
14.136126,B
17.852161,B
7.7694235,A
11.488251,A
11.764706,A
40.816326,E
10.0,A
10.05291,A
10.144928,A
1.7857143,A
16.455696,B
4.5454545,A
18.181818,B
20.77922,B
16.216217,B
2.5821595,A
15.987461,B
-9.375,D
7.2727275,A
5.8139534,A
19.48052,B
9.375,A
3.030303,A
16.302187,B
26.056337,C
12.984055,B
24.528301,C
14.503817,B
29.787233,C
15.070405,B
4.347826,A
9.090909,A
6.6666665,A
14.285714,B
12.982196,B
0.0,D
28.915663,C
12.658228,A
26.666666,C
13.68704,B
7.594937,A
17.35849,B
3.2258065,A
-2.5641026,D
48.387096,E
10.558692,A
0.0,D
-3.0487804,D
13.095238,B
26.829268,C
10.810811,A
24.242424,C
39.39394,E
22.727272,C
9.803922,A
15.625,B
8.333333,A
23.364487,C
0.0,D
0.0,D
1.1764706,D
21.385542,B
3.2786884,A
28.472221,C
28.571428,C
3.0612245,A
6.6445184,A
10.810811,A
11.646586,A
-1.0416666,D
17.110266,B
11.084337,A
9.876543,A
11.494253,A
23.430962,C
5.970149,A
14.087607,B
6.060606,A
18.75,B
14.285714,B
10.7382555,A
17.338709,B
8.449159,A
24.444445,C
16.393442,B
0.0,D
21.385542,B
14.02439,B
16.38418,B
-2.6666667,D
14.599575,B
17.460318,B
0.0,D
15.625,B
30.0,C
9.375,A
11.790393,A
25.301205,C
31.205673,C
9.375,A
28.125,C
13.333333,B
4.402516,A
50.0,E
14.583333,B
18.642803,B
-22.222221,D
17.75148,B
19.626167,B
6.451613,A
5.7017546,A
28.333334,C
20.0,B
19.668247,B
10.191083,A
40.909092,E
10.833705,A
30.942623,C
13.927794,B
19.911505,B
16.0,B
11.538462,A
13.598154,B
16.145834,B
11.296296,A
15.02951,B
18.29574,B
13.77551,B
11.90582,A
8.77193,A
13.284133,B
8.045977,A
15.680473,B
-9.67742,D
14.977974,B
17.567568,B
17.96748,B
3.2128515,A
28.571428,C
14.814815,B
6.382979,A
17.5,B
15.03268,B
13.369412,B
11.161179,A
14.643949,B
6.756757,A
24.55516,C
18.085106,B
35.294117,C
19.272728,B
25.0,C
34.328358,C
-0.6802721,D
12.433155,A
4.4585986,A
16.79644,B
0.0,D
18.562874,B
12.658228,A
26.956522,C
10.071942,A
17.266188,B
17.99308,B
15.151515,B
28.484848,C
24.309393,C
20.260223,B
33.766235,C
16.448599,B
9.090909,A
14.084507,B
9.9009905,A
-2.5210085,D
35.294117,C
0.0,D
7.894737,A
13.274336,B
15.625,B
3.125,A
8.571428,A
28.229666,C
21.390375,B
21.582733,B
6.818182,A
12.449392,A
48.275864,E
26.4,C
0.0,D
8.536586,A
22.222221,C
11.374408,A
28.181818,C
7.894737,A
28.125,C
14.0625,B
13.186813,B
-2.631579,D
13.077827,B
37.837837,E
10.0,A
21.100918,B
30.578512,C
36.842106,E
0.0,D
2.631579,A
24.409449,C
10.802224,A
-8.064516,D
19.708029,B
-10.869565,D
20.0,B
31.707317,C
0.0,D
9.090909,A
14.705882,B
14.285714,B
3.5714285,A
23.255814,C
5.882353,A
19.207148,B
25.0,C
-8.163265,D
-13.043478,D
13.815789,B
20.0,B
10.526316,A
3.4482758,A
19.512196,B
17.391304,B
26.666666,C
23.014257,C
21.95122,B
9.88456,A
12.0,A
22.580645,C
10.670732,A
19.148935,B
0.0,D
16.129032,B
29.012346,C
16.259766,B
14.946071,B
18.75,B
32.55814,C
10.910653,A
19.35484,B
16.945995,B
16.666666,B
12.096774,A
13.559904,B
10.0,A
14.055885,B
9.302325,A
17.391304,B
27.272728,C
33.333332,C
20.689655,B
17.171717,B
20.591581,B
26.027397,C
9.722222,A
4.1666665,A
45.714287,E
-4.295943,D
15.290934,B
32.8125,C
15.078821,B
16.061605,B
14.963504,B
26.829268,C
21.078432,B
34.210526,C
11.391963,A
21.276596,B
22.38806,C
7.2327046,A
28.070175,C
-9.278351,D
25.139666,C
18.15235,B
51.351353,E
9.407287,A
13.02682,B
16.021128,B
-10.344828,D
27.0,C
23.023716,C
17.021276,B
2.8985507,A
-8.888889,D
18.84058,B
22.222221,C
10.185185,A
44.278606,E
14.705882,B
29.655172,C
60.784313,E
20.560747,B
2.3809524,A
-1.2244898,D
31.11111,C
35.78732,C
14.602003,B
26.31579,C
18.674698,B
60.377357,E
9.641873,A
11.585366,A
10.9375,A
16.969696,B
32.608696,C
10.27027,A
11.363636,A
15.0,B
26.126125,C
20.546164,B
8.986616,A
4.265403,A
19.339622,B
20.512821,B
19.042189,B
3.7837837,A
16.487068,B
20.8,B
-7.0588236,D
20.555555,B
25.806452,C
24.413145,C
17.307692,B
11.453114,A
16.0,B
11.111111,A
11.900826,A
2.5,A
33.333332,C
32.432434,C
-14.814815,D
0.0,D
10.015899,A
-10.714286,D
28.16092,C
36.764706,C
6.060606,A
18.49866,B
0.6993007,D
8.823529,A
0.0,D
38.18182,E
15.047292,B
6.779661,A
34.146343,C
26.31579,C
16.216217,B
9.009009,A
-6.25,D
12.903226,B
4.5454545,A
22.64574,C
19.213974,B
9.248555,A
15.398855,B
10.209424,A
30.555555,C
18.98734,B
33.333332,C
20.512821,B
31.25,C
7.4074073,A
27.368422,C
2.2222223,A
4.6511626,A
41.935482,E
23.728813,C
24.7191,C
12.92853,B
29.487179,C
22.088354,B
10.769231,A
5.5555553,A
8.536586,A
30.232557,C
16.666666,B
31.428572,C
21.036585,B
14.367816,B
13.513514,B
11.671087,A
30.263159,C
17.335474,B
23.255814,C
8.955224,A
11.111111,A
-7.894737,D
-2.9126213,D
11.986301,A
6.1538463,A
20.495869,B
23.383085,C
11.698113,A
27.272728,C
15.697675,B
14.078431,B
17.72152,B
5.185185,A
13.422008,B
21.291449,B
16.41791,B
24.324324,C
16.923077,B
20.368364,B
21.83908,B
32.857143,C
15.957447,B
30.30303,C
23.018867,C
3.7735848,A
34.4,C
21.052631,B
41.666668,E
18.75,B
28.0,C
24.324324,C
9.638555,A
24.0,C
16.049383,B
45.16129,E
14.828897,B
35.384617,C
5.172414,A
23.717949,C
0.0,D
23.076923,C
21.428572,B
20.0,B
12.328767,A
5.140187,A
21.95122,B
6.25,A
4.347826,A
17.51152,B
8.571428,A
